9730.0 - 355       -1.0199 - 355
9730.0 - 356       0.0 - 356
9730.0 - 357       -1.1669 - 357
9730.0 - 358       -1.0222 - 358
9730.0 - 359       -1.3609 - 359
9730.0 - 360       -1.2153 - 360
9730.0 - 361       -1.0214 - 361
9730.0 - 362       -1.0226 - 362
9730.0 - 363       -1.0705 - 363
9730.0 - 364       0.0 - 364
9730.0 - 365       -1.0668 - 365
9730.0 - 366       0.0 - 366
9730.0 - 367       3859.0 - 367
9730.0 - 368       0.0 - 368
9730.0 - 369       -1.1666 - 369
9730.0 - 370       -1.2154 - 370
9730.0 - 371       -1.1185 - 371
9730.0 - 372       0.0 - 372
9730.0 - 373       -1.2169 - 373
9730.0 - 374       -1.0214 - 374
9730.0 - 375       0.0 - 375
9730.0 - 376       -1.0204 - 376
9730.0 - 377       -1.2647 - 377
9730.0 - 378       -1.2642 - 378
9730.0 - 379       0.0 - 379
9730.0 - 380       -1.1673 - 380
9730.0 - 381       -1.0214 - 381
9730.0 - 382       -1.1201 - 382
9730.0 - 383       -1.1669 - 383
9730.0 - 384       -1.9428 - 384
9730.0 - 385       -1.2172 - 385
9730.0 - 386       -1.0676 - 386
9730.0 - 387       -1.215 - 387
9730.0 - 388       -1.0213 - 388
9730.0 - 389       -1.0224 - 389
9730.0 - 390       0.0 - 390
9730.0 - 391       -1.9428 - 391
9730.0 - 392       -1.0232 - 392
9730.0 - 393       -1.0193 - 393
9730.0 - 394       -1.0198 - 394
9730.0 - 395       -1.9428 - 395
9730.0 - 396       -1.2159 - 396
9730.0 - 397       0.0 - 397
9730.0 - 398       -1.9428 - 398
9730.0 - 399       -1.0719 - 399
9730.0 - 400       -1.2159 - 400
9730.0 - 401       -1.0219 - 401
9730.0 - 402       -1.2627 - 402
9730.0 - 403       0.0 - 403
9730.0 - 404       -1.117 - 404
9730.0 - 405       -1.2168 - 405
9730.0 - 406       -1.0228 - 406
9730.0 - 407       0.0 - 407
9730.0 - 408       -1.9428 - 408
9730.0 - 409       -1.9428 - 409
9730.0 - 410       -1.0223 - 410
9730.0 - 411       -1.9428 - 411
9730.0 - 412       -1.073 - 412
9730.0 - 413       -1.0705 - 413
9730.0 - 414       -1.3135 - 414
9730.0 - 415       -1.0714 - 415
9730.0 - 416       -1.2627 - 416
9730.0 - 417       0.0 - 417
9730.0 - 418       -1.9428 - 418
9730.0 - 419       -1.1184 - 419
9730.0 - 420       -1.1659 - 420
9730.0 - 421       -1.1158 - 421
9730.0 - 422       -1.0215 - 422
9730.0 - 423       -1.1173 - 423
9730.0 - 424       0.0 - 424
9730.0 - 425       -1.0688 - 425
9730.0 - 426       -1.071 - 426
9730.0 - 427       -1.119 - 427
9730.0 - 428       -1.1219 - 428
9730.0 - 429       -1.0212 - 429
9730.0 - 430       -1.1186 - 430
9730.0 - 431       0.0 - 431
