130 - 346       37 - 346
130 - 347       -1 - 347
130 - 348       48 - 348
130 - 349       -1 - 349
130 - 350       57 - 350
130 - 351       12 - 351
130 - 352       37 - 352
130 - 353       0 - 353
130 - 354       12 - 354
130 - 355       45 - 355
130 - 356       36 - 356
130 - 357       36 - 357
130 - 358       12 - 358
130 - 359       33 - 359
130 - 360       -1 - 360
130 - 361       36 - 361
130 - 362       36 - 362
130 - 363       12 - 363
130 - 364       -1 - 364
130 - 365       36 - 365
130 - 366       81 - 366
130 - 367       36 - 367
130 - 368       36 - 368
130 - 369       -1 - 369
130 - 370       70 - 370
130 - 371       12 - 371
130 - 372       -1 - 372
130 - 373       48 - 373
130 - 374       12 - 374
130 - 375       24 - 375
130 - 376       33 - 376
130 - 377       36 - 377
130 - 378       -1 - 378
130 - 379       -1 - 379
130 - 380       36 - 380
130 - 381       45 - 381
130 - 382       12 - 382
130 - 383       37 - 383
130 - 384       12 - 384
130 - 385       0 - 385
130 - 386       -1 - 386
130 - 387       49 - 387
130 - 388       12 - 388
130 - 389       36 - 389
130 - 390       69 - 390
130 - 391       24 - 391
130 - 392       48 - 392
130 - 393       -1 - 393
130 - 394       -1 - 394
130 - 395       61 - 395
130 - 396       36 - 396
130 - 397       24 - 397
130 - 398       36 - 398
130 - 399       -1 - 399
130 - 400       -1 - 400
130 - 401       12 - 401
130 - 402       36 - 402
130 - 403       36 - 403
130 - 404       0 - 404
130 - 405       0 - 405
130 - 406       -1 - 406
130 - 407       -1 - 407
130 - 408       33 - 408
130 - 409       33 - 409
130 - 410       36 - 410
130 - 411       -1 - 411
130 - 412       69 - 412
130 - 413       45 - 413
130 - 414       0 - 414
130 - 415       36 - 415
130 - 416       -1 - 416
130 - 417       45 - 417
130 - 418       -1 - 418
130 - 419       36 - 419
130 - 420       -1 - 420
130 - 421       -1 - 421
130 - 422       24 - 422
130 - 423       12 - 423
130 - 424       33 - 424
130 - 425       48 - 425
130 - 426       -1 - 426
130 - 427       -1 - 427
130 - 428       36 - 428
130 - 429       24 - 429
130 - 430       -1 - 430
130 - 431       69 - 431
130 - 432       12 - 432
130 - 433       24 - 433
130 - 434       12 - 434
130 - 435       -1 - 435
130 - 436       36 - 436
130 - 437       36 - 437
130 - 438       57 - 438
130 - 439       -1 - 439
130 - 440       -1 - 440
130 - 441       45 - 441
130 - 442       36 - 442
130 - 443       37 - 443
130 - 444       45 - 444
130 - 445       24 - 445
130 - 446       33 - 446
130 - 447       45 - 447
130 - 448       45 - 448
130 - 449       -1 - 449
130 - 450       36 - 450
130 - 451       69 - 451
130 - 452       36 - 452
130 - 453       61 - 453
130 - 454       -1 - 454
130 - 455       36 - 455
130 - 456       12 - 456
130 - 457       36 - 457
130 - 458       36 - 458
130 - 459       24 - 459
130 - 460       12 - 460
130 - 461       24 - 461
130 - 462       33 - 462
130 - 463       48 - 463
130 - 464       36 - 464
130 - 465       0 - 465
130 - 466       37 - 466
130 - 467       -1 - 467
130 - 468       48 - 468
130 - 469       45 - 469
130 - 470       -1 - 470
130 - 471       12 - 471
130 - 472       24 - 472
130 - 473       49 - 473
130 - 474       36 - 474
130 - 475       -1 - 475
130 - 476       -1 - 476
130 - 477       12 - 477
130 - 478       -1 - 478
130 - 479       12 - 479
130 - 480       33 - 480
130 - 481       0 - 481
130 - 482       -1 - 482
130 - 483       57 - 483
130 - 484       -1 - 484
130 - 485       -1 - 485
130 - 486       -1 - 486
130 - 487       45 - 487
130 - 488       36 - 488
130 - 489       12 - 489
130 - 490       36 - 490
130 - 491       45 - 491
130 - 492       45 - 492
130 - 493       57 - 493
130 - 494       36 - 494
130 - 495       36 - 495
130 - 496       -1 - 496
130 - 497       0 - 497
130 - 498       0 - 498
130 - 499       -1 - 499
130 - 500       36 - 500
130 - 501       0 - 501
130 - 502       49 - 502
130 - 503       49 - 503
130 - 504       36 - 504
130 - 505       -1 - 505
130 - 506       60 - 506
130 - 507       69 - 507
130 - 508       -1 - 508
130 - 509       48 - 509
130 - 510       -1 - 510
130 - 511       37 - 511
130 - 512       -1 - 512
130 - 513       36 - 513
130 - 514       36 - 514
130 - 515       45 - 515
130 - 516       45 - 516
130 - 517       12 - 517
130 - 518       -1 - 518
130 - 519       36 - 519
130 - 520       24 - 520
130 - 521       45 - 521
130 - 522       37 - 522
130 - 523       12 - 523
130 - 524       37 - 524
130 - 525       36 - 525
130 - 526       33 - 526
130 - 527       -1 - 527
130 - 528       45 - 528
130 - 529       -1 - 529
130 - 530       0 - 530
130 - 531       69 - 531
130 - 532       12 - 532
130 - 533       12 - 533
130 - 534       12 - 534
130 - 535       33 - 535
130 - 536       -1 - 536
130 - 537       -1 - 537
130 - 538       57 - 538
130 - 539       24 - 539
130 - 540       33 - 540
130 - 541       36 - 541
130 - 542       48 - 542
130 - 543       69 - 543
130 - 544       33 - 544
130 - 545       48 - 545
130 - 546       -1 - 546
130 - 547       45 - 547
130 - 548       0 - 548
130 - 549       81 - 549
130 - 550       0 - 550
130 - 551       61 - 551
130 - 552       36 - 552
130 - 553       -1 - 553
130 - 554       0 - 554
130 - 555       36 - 555
130 - 556       12 - 556
130 - 557       45 - 557
130 - 558       49 - 558
130 - 559       49 - 559
130 - 560       24 - 560
130 - 561       -1 - 561
130 - 562       36 - 562
130 - 563       0 - 563
130 - 564       0 - 564
130 - 565       -1 - 565
130 - 566       12 - 566
130 - 567       36 - 567
130 - 568       12 - 568
130 - 569       36 - 569
130 - 570       33 - 570
130 - 571       36 - 571
130 - 572       48 - 572
130 - 573       36 - 573
130 - 574       -1 - 574
130 - 575       45 - 575
130 - 576       12 - 576
130 - 577       36 - 577
130 - 578       -1 - 578
130 - 579       33 - 579
130 - 580       36 - 580
130 - 581       -1 - 581
130 - 582       -1 - 582
130 - 583       0 - 583
130 - 584       45 - 584
130 - 585       24 - 585
130 - 586       36 - 586
130 - 587       0 - 587
130 - 588       0 - 588
130 - 589       48 - 589
130 - 590       69 - 590
130 - 591       -1 - 591
130 - 592       36 - 592
130 - 593       106 - 593
130 - 594       69 - 594
130 - 595       12 - 595
130 - 596       24 - 596
130 - 597       12 - 597
130 - 598       45 - 598
130 - 599       -1 - 599
130 - 600       36 - 600
130 - 601       36 - 601
130 - 602       -1 - 602
130 - 603       45 - 603
130 - 604       -1 - 604
130 - 605       36 - 605
130 - 606       33 - 606
130 - 607       24 - 607
130 - 608       0 - 608
130 - 609       0 - 609
130 - 610       -1 - 610
130 - 611       12 - 611
130 - 612       48 - 612
130 - 613       45 - 613
130 - 614       37 - 614
130 - 615       0 - 615
130 - 616       73 - 616
130 - 617       36 - 617
130 - 618       0 - 618
130 - 619       57 - 619
130 - 620       72 - 620
130 - 621       -1 - 621
130 - 622       -1 - 622
130 - 623       36 - 623
130 - 624       36 - 624
130 - 625       36 - 625
130 - 626       45 - 626
130 - 627       12 - 627
130 - 628       37 - 628
130 - 629       33 - 629
130 - 630       -1 - 630
130 - 631       37 - 631
130 - 632       -1 - 632
130 - 633       12 - 633
130 - 634       12 - 634
130 - 635       36 - 635
130 - 636       37 - 636
130 - 637       48 - 637
130 - 638       48 - 638
130 - 639       72 - 639
130 - 640       24 - 640
130 - 641       33 - 641
130 - 642       37 - 642
130 - 643       -1 - 643
130 - 644       -1 - 644
130 - 645       49 - 645
130 - 646       48 - 646
130 - 647       -1 - 647
130 - 648       -1 - 648
130 - 649       -1 - 649
130 - 650       36 - 650
130 - 651       0 - 651
130 - 652       0 - 652
130 - 653       12 - 653
130 - 654       0 - 654
130 - 655       36 - 655
130 - 656       -1 - 656
130 - 657       -1 - 657
130 - 658       36 - 658
