130 - 537       24 - 537
118 - 538       24 - 538
118 - 539       57 - 539
130 - 540       48 - 540
106 - 541       37 - 541
118 - 542       36 - 542
106 - 543       33 - 543
106 - 544       24 - 544
109 - 545       36 - 545
109 - 546       0 - 546
130 - 547       37 - 547
109 - 548       48 - 548
106 - 549       12 - 549
118 - 550       24 - 550
109 - 551       49 - 551
118 - 552       72 - 552
118 - 553       36 - 553
109 - 554       49 - 554
94 - 555       12 - 555
106 - 556       36 - 556
130 - 557       24 - 557
109 - 558       61 - 558
118 - 559       0 - 559
109 - 560       24 - 560
109 - 561       48 - 561
109 - 562       24 - 562
130 - 563       0 - 563
106 - 564       0 - 564
106 - 565       0 - 565
130 - 566       0 - 566
106 - 567       57 - 567
109 - 568       37 - 568
118 - 569       45 - 569
118 - 570       24 - 570
106 - 571       12 - 571
70 - 572       12 - 572
130 - 573       61 - 573
81 - 574       0 - 574
106 - 575       33 - 575
130 - 576       37 - 576
109 - 577       12 - 577
118 - 578       0 - 578
130 - 579       61 - 579
109 - 580       12 - 580
118 - 581       69 - 581
130 - 582       69 - 582
109 - 583       73 - 583
118 - 584       36 - 584
118 - 585       37 - 585
130 - 586       0 - 586
109 - 587       48 - 587
94 - 588       49 - 588
106 - 589       12 - 589
130 - 590       12 - 590
130 - 591       12 - 591
118 - 592       12 - 592
109 - 593       60 - 593
109 - 594       33 - 594
109 - 595       36 - 595
130 - 596       61 - 596
130 - 597       12 - 597
106 - 598       12 - 598
118 - 599       12 - 599
106 - 600       12 - 600
118 - 601       12 - 601
130 - 602       60 - 602
118 - 603       12 - 603
118 - 604       0 - 604
118 - 605       49 - 605
106 - 606       45 - 606
97 - 607       33 - 607
118 - 608       33 - 608
97 - 609       37 - 609
109 - 610       48 - 610
106 - 611       36 - 611
118 - 612       36 - 612
130 - 613       61 - 613
130 - 614       0 - 614
118 - 615       48 - 615
93 - 616       24 - 616
93 - 617       0 - 617
109 - 618       36 - 618
130 - 619       36 - 619
130 - 620       69 - 620
106 - 621       0 - 621
97 - 622       49 - 622
130 - 623       33 - 623
109 - 624       48 - 624
118 - 625       36 - 625
109 - 626       24 - 626
109 - 627       60 - 627
118 - 628       49 - 628
118 - 629       61 - 629
109 - 630       36 - 630
109 - 631       0 - 631
130 - 632       60 - 632
130 - 633       12 - 633
118 - 634       37 - 634
118 - 635       45 - 635
130 - 636       0 - 636
109 - 637       12 - 637
109 - 638       24 - 638
109 - 639       61 - 639
94 - 640       0 - 640
130 - 641       36 - 641
106 - 642       24 - 642
118 - 643       61 - 643
130 - 644       36 - 644
118 - 645       37 - 645
130 - 646       36 - 646
130 - 647       45 - 647
106 - 648       0 - 648
118 - 649       36 - 649
130 - 650       0 - 650
118 - 651       24 - 651
118 - 652       73 - 652
118 - 653       12 - 653
118 - 654       61 - 654
130 - 655       45 - 655
109 - 656       24 - 656
130 - 657       36 - 657
118 - 658       0 - 658
97 - 659       37 - 659
109 - 660       0 - 660
118 - 661       48 - 661
118 - 662       45 - 662
109 - 663       24 - 663
118 - 664       57 - 664
130 - 665       0 - 665
118 - 666       33 - 666
118 - 667       12 - 667
97 - 668       0 - 668
130 - 669       36 - 669
106 - 670       37 - 670
